Metric,Value
Total Rows,12.0
Valid Rows,8.0
Invalid Rows,4.0
Duplicates Removed,1.0
Schema Violations,4.0
Files Processed,3.0
Files Failed,0.0
Success Rate (%),66.67
Missing Values - id,0.0
Missing Values - name,0.0
Missing Values - age,0.0
Missing Values - salary,0.0
Missing Values - department,0.0
